RepoID,IssueID,Title_Description,AST,FixedByID,Name,CreatedDate
MixedRealityToolkit-UnityWebScrap,1728,transformsynchronizer not sharing and receiving information  overview im trying to share the transform position rotation and scale of a gameobject that is not spawned at runtime but already exists in the scene of the two hololens.  in my project i have  manager gameobject with - sharingstage - sharingworldanchormanager  worldanchor with - autojoinsessionandroom  sphere (child of worldanchor) with - transformsynchronizer where i changed the start method with   the session and room are created but no information is synched between the two hololens.   expected behavior when i move a sphere in the scene of one hololens the sphere moves in the scene of the second hololens.   actual behavior when moving the sphere in the hololens 1 in the hololens 2 there is no movement. no   onpositionchanged   events are called in transformsynchronizer of the second hololens.   unity editor version unity 2017.3.1f   mixed reality toolkit release version 2.1.1,NULL,unknown,unknown,17/02/2018
MixedRealityToolkit-UnityWebScrap,1729,speech duplicate  overview speechinputhandler keyword events are called twice. speechinputsource works properly cant trace the problem within the custom inputmanager.  expected behavior when i say a particular keyword the response method to be called exactly once from speechinputhandler   actual behavior when i say a particular keyword the response method is called twice  steps to reproduce add a speechinputsource with a keyword (page up in my situation) and a speechinputhandler  which handles that keyword. both scripts shall reside in the managers gameobject which is added by using the mixedreality toolkit menu.  unity editor version 2017.2.1f1 windows10 64bit  mixed reality toolkit release version 2017.2.1.0,NULL,unknown,unknown,18/02/2018
MixedRealityToolkit-UnityWebScrap,1730,ambiguous call gettypeinfo() in dev branch with .net 4.6 runtime version.  overview when importing the latest dev branch with .net 4.6 the following error appears  mixedrealitytoolkit/sharing/scripts/syncsettings.cs(4333) error cs0121  the call is ambiguous between the following methods or properties mixedrealitytoolkit.common.extensions.reflectionextensions.gettypeinfo(this system.type) and system.reflection.introspectionextensions.gettypeinfo(this system.type)   expected behavior no errors.   actual behavior ambiguous call in [sencsettings.csl43](   steps to reproduce import latest dev branch in 2017.3.1p1. switch scripting runtime versions to experimental .net 4.6 error appears after restarting unity.   unity editor version 2017.3.1p1   mixed reality toolkit release version dev_branch 19.02.2018,NULL,unknown,unknown,19/02/2018
MixedRealityToolkit-UnityWebScrap,1731,tracking image is not disappearing inside the application   overview tracking image is not disappearing  expected behavior tracking image should disappear after tracking is done inside the application.  actual behavior tracking image does not disappearing even after the tracking has been completed the tracking image keeps on following the camera.  steps to reproduce _(links to sample github project preferred)_ - open a hololens application - lose the spatial tracking while inside the application  - then try to track again the tracking image will appear    unity editor version 2017.2.1p  mixed reality toolkit release version 2017.2.1p,NULL,unknown,unknown,19/02/2018
MixedRealityToolkit-UnityWebScrap,1732,how would i impliment something like onfocusenter/exit for a layer/tag in my scene? so this might be a noob question but i want to implement basically a highlight material whenever the users gaze enters an object with a certain layer/tag. i thought the best bet would be to implement something like ifocusable however after i started thinking about it i would need to add this script to each object i want to highlight i.e. 20 to 30 objects.   is there a way to implement something like onfocusenter and apply to all objects with certain layer/tag without having to add it to each individual object? however i still only want to highlight the individual object i am looking at.  or am i going about this all wrong? any assistance on the matter would be greatly appreciated.,NULL,unknown,question,20/02/2018
MixedRealityToolkit-UnityWebScrap,1733,syncobject.objectchanged not firing  overview i am trying to create a syncmodel representing a gameobject (syncgameobject) so it has the following fields   - gameobject myobject; // this is the object being represented  - synctransform mytransform; // the transform used to sync interactions  - syncbool isactive; // if the gameobject is active or not  - changetransform(transform) // gets called through an interaction script on the gameobject to set the new values to be synced.  - ontransformchanged(syncobject) // mytransform.objectchanged += ontransformchanged does not fire... why?  however synctransform.onpositionchanged gets fired.  but i dont know how to use that data because the gameobject reference goes null once i leave the set function.  why?   so if a parent container class (syncgameobject) subscribes to any syncobject.objectchanged events they dont fire.  and i have been killing myself to figure out how to do that.   expected behavior syncgameobject.ontransformchanged() gets fired   actual behavior syncgameobject.ontransformchanged() doesnt get fired   steps to reproduce   testspawnmanager - monobehaviour script placed on prefab to start initialization    public class testspawnedmanager  monobehaviour {  	// use this for initialization 	void start () {         debug.logformat(testspawnedmanager.start() initiallizing the sync model...);          ((testsyncspawnmanager)getcomponent<defaultsyncmodelaccessor().syncmodel).initializeexternally(this); 	} 	 	// update is called once per frame 	void update () { 		 	} }    testsyncspawnmanager - syncspawnedobject data model    [syncdataclass] public class testsyncspawnmanager  syncspawnedobject {     [syncdata] public syncarray<testsyncgameobject interactivechildren = new syncarray<testsyncgameobject(interactive children);      public testspawnedmanager manager;      public override void initialize(string name string parentpath)     {         base.initialize(name parentpath);     }      public void initializeexternally(testspawnedmanager _mymanager)     {         manager = _mymanager;          debug.logformat(testsyncspawnmanager.initializeexternally() gameobject {0} manager.name);          // initialize any interactive gameobjects         initializechildren();     }      public void initializechildren()     {         debug.logformat(testsyncspawnmanager.initializechildren() gathering and making syncgameobjects of the children);          // get and loop through the children         transform[] children = manager.getcomponentsinchildren<transform(true);         for (int i = 1; i < children.length; i++)         {             gameobject childobj = children[i].gameobject;              gestureinteract gestint = childobj.getcomponent<gestureinteract();             if (gestint  = null)             {                 testsyncgameobject childmodel = interactivechildren.addobject(new testsyncgameobject(childobj.name + _syncmodel childobj));                                  debug.logformat(testsyncspawnmanager.initializechildren() gameobject {0}.  childobj.name);             }         }     } }     testsyncgameobject - syncmodel representing a gameobject with an interact script on it    [syncdataclass] public class testsyncgameobject  syncobject {     [syncdata] public synctransform mysynctransform = new synctransform(transform);      public gameobject gameobject { get; set; }     public transform transform { get; set; }      public testsyncgameobject()     {         debug.logformat(testsyncgameobject.syncgameobject() empty constructor);     }      public testsyncgameobject(string _field gameobject _object)  base(_field)     {         gameobject = _object;         transform = gameobject.transform;          debug.logformat(testsyncgameobject.testsyncgameobject() initializing syncgameobject for {0} gameobject.name);          mysynctransform.position.value = transform.localposition;         mysynctransform.rotation.value = transform.localrotation;         mysynctransform.scale.value = transform.localscale;          // check if there is a gesture interact for the gameobejct         gestureinteract gestinteract = gameobject.getcomponent<gestureinteract();         if (gestinteract  = null)         {             // give the sync field name as the id for any gestureinteracts             gestureinteract gestint = gameobject.getcomponent<gestureinteract();             if (gestint  = null)             {                 debug.logformat(syncgameobject.initializeexternally() initializing gestureinteract);                 gestint.initializesharing(this);             }                      }          mysynctransform.objectchanged += onsynctransformobjectchanged;         mysynctransform.positionchanged += onsynctransformpositionflag;         mysynctransform.position.objectchanged += onsynctransformpositionobjectchanged;      }       public void changetransformhandler(transform _newtransform)     {         debug.logformat(testsyncgameobject.changetransformhandler() {0}s new position {1} _newtransform.name _newtransform.localposition);          mysynctransform.position.value = _newtransform.localposition;         mysynctransform.rotation.value = _newtransform.localrotation;         mysynctransform.scale.value = _newtransform.localscale;                     }      private void onsynctransformpositionobjectchanged(syncobject obj)     {         debug.logformat(testsyncgameobject.onsynctransformpositionobjectchanged() synctransform.position object changed);  // does not fire     }      private void onsynctransformpositionflag()     {         debug.logformat(testsyncgameobject.onsynctransformpositionflag() synctransform.positionchanged action flag);  // does not fire     }      private void onsynctransformobjectchanged(syncobject obj)     {         debug.logformat(testsyncgameobject.onsynctransformobjectchanged() synctransform object changed);  // does not fire     } }     synctransform - added print statements        [syncdataclass]     public class synctransform  syncobject     {         [syncdata] public syncvector3 position = new syncvector3(position);         [syncdata] public syncquaternion rotation = new syncquaternion(rotation);         [syncdata] public syncvector3 scale = new syncvector3(scale);          public event action positionchanged;         public event action rotationchanged;         public event action scalechanged;          public synctransform(string field)              base(field)         {             position.objectchanged += onpositionchanged;             rotation.objectchanged += onrotationchanged;             scale.objectchanged += onscalechanged;         }          private void onpositionchanged(syncobject obj)         {             debug.logformat(synctransform.onpositionchanged() change =========); // fires             positionchanged.raiseevent();         }          private void onrotationchanged(syncobject obj)         {             debug.logformat(synctransform.onrotationchanged() change =========);  // fires             rotationchanged.raiseevent();         }          private void onscalechanged(syncobject obj)         {             debug.logformat(synctransform.onscalechanged() change =========);  // fires             scalechanged.raiseevent();         }     } }  unity editor version 2017.3.1   mixed reality toolkit release version 2017.2.1,NULL,unknown,unknown,20/02/2018
MixedRealityToolkit-UnityWebScrap,1736,networkdiscoverywithanchors.starthosting(string sessionname) does not actually use sessionname parameter  overview functions docstring suggest that the name will only be used if a name cannot be calculated. imo even if a name can be calculated end-user still should be able to set a name for his/her session.  i got over this restriction by writing an adapter to networkdiscoverywithanchors class that maps desired session names to generated session names which also changes the way events are fired. i found that instead of a session list changed event firing a new session found event and a session is closed event both containing specific session data in their callbacks to be more useful. i dont like my adapter though and i want to remove it from my codebase )  this is more like a suggestion than an issue and i dont know if it makes sense to you. i would love to hear your thoughts on the matter.  cheers.   expected behavior session name is the same as the parameter sessionname   actual behavior function does not use the parameter at all.   steps to reproduce starthosting(a session name) is enough to reproduce.   unity editor version 2017.3.0f3   mixed reality toolkit release version v2017.2.1.1,NULL,unknown,sharing / networking,21/02/2018
MixedRealityToolkit-UnityWebScrap,1737,interactionsourcedetected  doesnt work correctly on build (headset 2017.3)  i get input and controller childs via interactionsourcedetected and interactionsourceupdated. in editor its always works fine but in build interactionsourcedetected not work in first start app. after restart app work fine. (work correctly in 2017.2.0p1-mrtp4) unity 2017.3.0f3 headset,NULL,unknown,unknown,21/02/2018
MixedRealityToolkit-UnityWebScrap,174,move samples out of assets should the holotoolkit-examples folder really be under assets? i used to tell everyone that they need to include everything from the assets folder and below to make sure the got the rsps (a common mistake). but now that would include all of the samples too.i feel the samples should exist off the root somewhere like the sharing stuff does inexternal/holotoolkit/sharingbut i could be missing something. any thoughts?,NULL,unknown,question,15/08/2016
MixedRealityToolkit-UnityWebScrap,1740,error cs1929 spatialinteractioncontroller does not contain a definition for trygetrenderablemodelasync  overview getting this error building gazeruler example this bug was reported back in oct 2017 and discussion closed. well its back. just install this version of unity with needed extras for building to hololens open the mrtk find the gazerulerexample project and build. boom. can you please fix this   expected behavior that i get no errors and it runs correctly   actual behavior i get this error when building   steps to reproduce its todays available version of the mixed reality toolkit for unity   unity editor version 2017.3.1p1   mixed reality toolkit release version latest commit 0d54a2d  on jan 18 2018,NULL,unknown,question,21/02/2018
